2026-05-29 00:14:39 | INFO | config:test_connection:52 | ✅ Connexion PostgreSQL établie avec succès
2026-05-29 00:14:39 | INFO | run_etl:main:30 | 🔍 Phase 1: Extraction
2026-05-29 00:14:39 | INFO | extract:extract_auto_sinistres:20 | ✅ 410 sinistres auto extraits
2026-05-29 00:14:39 | INFO | extract:extract_trc_sinistres:31 | ✅ 166 sinistres chantier extraits
2026-05-29 00:14:39 | INFO | run_etl:main:35 | 🔄 Phase 2: Transformation
2026-05-29 00:14:39 | INFO | transform:clean_auto_data:18 | Nettoyage des données auto...
2026-05-29 00:14:39 | INFO | transform:clean_auto_data:62 | Nettoyage terminé: 410 lignes
2026-05-29 00:14:39 | INFO | transform:clean_chantier_data:67 | Nettoyage des données chantier...
2026-05-29 00:14:39 | INFO | transform:clean_chantier_data:91 | Nettoyage terminé: 166 lignes
2026-05-29 00:14:40 | INFO | transform:save_processed_data:98 | ✅ Données sauvegardées: C:\Users\ADMIN\Documents\projet_memoire_master_btp\data\processed\auto_cleaned.parquet
2026-05-29 00:14:40 | INFO | transform:save_processed_data:98 | ✅ Données sauvegardées: C:\Users\ADMIN\Documents\projet_memoire_master_btp\data\processed\chantier_cleaned.parquet
2026-05-29 00:14:40 | INFO | run_etl:main:46 | 💾 Phase 3: Chargement DWH
2026-05-29 00:14:40 | INFO | load:run_full_load:296 | === DÉBUT CHARGEMENT DWH ===
2026-05-29 00:14:40 | INFO | load:load_dim_temps:25 | Chargement dim_temps...
2026-05-29 00:14:40 | INFO | load:load_dim_temps:49 | ✅ 436 dates chargées
2026-05-29 00:14:40 | INFO | load:load_dim_vehicule:53 | Chargement dim_vehicule...
2026-05-29 00:14:41 | INFO | load:load_dim_vehicule:78 | ✅ 325 véhicules chargés
2026-05-29 00:14:41 | INFO | load:load_dim_assureur:83 | Chargement dim_assureur...
2026-05-29 00:14:41 | INFO | load:load_dim_assureur:125 | ✅ 7 assureurs chargés
2026-05-29 00:14:41 | INFO | load:load_dim_geographie:129 | Chargement dim_geographie...
2026-05-29 00:14:41 | INFO | load:load_dim_geographie:145 | ✅ 12 départements chargés
2026-05-29 00:14:41 | INFO | load:load_dim_conducteur:150 | Chargement dim_conducteur...
2026-05-29 00:14:41 | INFO | load:load_dim_conducteur:173 | ✅ 60 conducteurs chargés
2026-05-29 00:14:41 | INFO | load:load_dim_chantier:178 | Chargement dim_chantier...
2026-05-29 00:14:41 | INFO | load:load_dim_chantier:204 | ✅ Données chantier chargées
2026-05-29 00:14:41 | INFO | load:load_dim_sinistre_type:209 | Chargement dim_sinistre_type...
2026-05-29 00:14:42 | INFO | load:load_dim_sinistre_type:226 | ✅ 12 types de sinistres chargés
2026-05-29 00:14:42 | INFO | load:load_fact_sinistres_auto:230 | Chargement fait_sinistres (auto)...
2026-05-29 00:14:43 | INFO | load:load_fact_sinistres_auto:292 | ✅ 410 sinistres auto chargés
2026-05-29 00:14:43 | INFO | load:run_full_load:310 | === CHARGEMENT DWH TERMINÉ ===
2026-05-29 00:14:43 | INFO | run_etl:main:50 | ============================================================
2026-05-29 00:14:43 | INFO | run_etl:main:51 | ✅ PIPELINE ETL TERMINÉ AVEC SUCCÈS
2026-05-29 00:14:43 | INFO | run_etl:main:52 | ============================================================
